13:02:31.440, spid.vsp, 0.0
13:02:31.444, r.s, Disabled
13:02:37.631, dt.re, 3.9695838120771096
13:02:37.639, dt.le, -2.7050318379853495
13:02:37.648, dt.rsp, -0.0
13:02:37.652, dt.rps, 0.001587833524830844
13:02:37.658, dt.lps, -0.0013525159189926748
13:02:37.666, l.sl, true
13:02:37.673, lms.s, false
13:02:37.682, s.sp, 0.0
13:02:37.687, s.aes, 0.0
13:02:37.693, s.aest, 0.0
13:02:37.698, s.m, 0.0
13:02:37.705, s.hf, false
13:02:37.712, s.sf, false
13:02:37.718, so.sbrun, false
13:02:37.721, so.sbu, false
13:02:37.727, so.lbu, false
13:02:37.734, so.fbe, false
13:02:37.741, so.su, false
13:02:37.746, so.lu, false
13:02:37.748, r.s, Teleop
13:02:37.754, so.fe, false
13:02:37.760, i.ljs, 0.0
13:02:37.766, i.rjs, 0.0
13:02:37.768, i.jx, -0.0
13:02:37.774, i.jy, 0.0
13:02:37.776, i.ld, false
13:02:37.781, i.lu, false
13:02:37.784, i.sd, false
13:02:37.789, i.su, false
13:02:37.797, i.ssd, false
13:02:37.803, i.ssu, false
13:02:37.806, i.sf, false
13:02:37.834, dt.re, 0.0
13:02:37.836, dt.le, 0.0
13:02:37.841, dt.rps, 0.0
13:02:37.843, dt.lps, 0.0
13:02:41.842, dt.re, 62.500000000012434
13:02:41.844, dt.le, -78.94736842108901
13:02:41.848, dt.rsp, 0.3949652777777778
13:02:41.849, dt.rps, -0.37786458333332834
13:02:41.851, dt.lps, 0.4739811769005666
13:02:41.854, i.jx, 0.1579861111111111
13:02:42.042, dt.re, 525.0000000001045
13:02:42.044, dt.le, -300.0000000000597
13:02:42.048, dt.rsp, 0.1779513888888889
13:02:42.049, dt.rps, 0.028489583333375118
13:02:42.050, dt.lps, 0.08133680555552572
13:02:42.054, i.jx, 0.07118055555555555
13:02:42.243, dt.re, 25.000000000004974
13:02:42.245, dt.le, -37.50000000000746
13:02:42.249, dt.rsp, -0.0
13:02:42.250, dt.rps, 0.01000000000000199
13:02:42.252, dt.lps, -0.018750000000003732
13:02:42.256, i.jx, -0.0
13:02:42.444, dt.re, 49.99999999997442
13:02:42.446, dt.le, 24.99999999998721
13:02:42.449, dt.rsp, 0.024999999999999994
13:02:42.451, dt.rps, -0.005500000000010227
13:02:42.452, dt.lps, -0.02000000000000639
13:02:42.456, i.jy, -0.02777777777777777
13:02:42.645, dt.re, 200.0000000000398
13:02:42.647, dt.le, 0.0
13:02:42.650, dt.rsp, 0.6473958333333334
13:02:42.652, dt.rps, -0.5803437499999842
13:02:42.653, dt.lps, -0.09682291666666672
13:02:42.657, i.jx, 0.11458333333333333
13:02:42.658, i.jy, -0.4010416666666667
13:02:42.847, dt.re, 0.0
13:02:42.848, dt.le, -12.500000000002487
13:02:42.852, dt.rsp, -0.0
13:02:42.854, dt.rps, 0.0
13:02:42.858, dt.lps, -0.006250000000001243
13:02:42.859, i.jx, -0.0
13:02:42.860, i.jy, 0.0
13:02:43.047, dt.re, -12.500000000002487
13:02:43.049, dt.le, 0.0
13:02:43.052, dt.rps, -0.005000000000000995
13:02:43.054, dt.lps, 0.0
13:02:43.247, dt.re, 12.500000000002487
13:02:43.249, dt.rps, 0.005000000000000995
13:02:43.447, dt.re, 0.0
13:02:43.449, dt.rps, 0.0
13:02:43.847, dt.le, 37.50000000000746
13:02:43.849, dt.rsp, 0.1421875
13:02:43.853, dt.rps, -0.14503125
13:02:43.854, dt.lps, -0.16609374999999627
13:02:43.855, so.sbrun, true
13:02:43.859, so.sbu, true
13:02:43.860, so.su, true
13:02:43.864, i.jy, -0.1579861111111111
13:02:43.867, i.su, true
13:02:44.048, dt.le, -12.500000000002487
13:02:44.050, dt.rsp, -0.0
13:02:44.051, dt.rps, 0.0
13:02:44.054, dt.lps, -0.006250000000001243
13:02:44.055, i.jy, 0.0
13:02:44.057, i.su, false
13:02:44.249, dt.le, 0.0
13:02:44.250, dt.lps, 0.0
13:03:00.849, so.sbu, false
13:03:00.850, so.su, false
13:03:00.854, i.sd, true
13:03:01.049, i.sd, false
13:03:01.449, dt.le, -12.499999999993605
13:03:01.450, dt.lps, -0.006249999999996802
13:03:01.649, dt.le, 0.0
13:03:01.650, dt.lps, 0.0
13:03:01.654, so.sbu, true
13:03:01.655, so.su, true
13:03:01.656, i.su, true
13:03:01.849, i.su, false
