13:31:23.087, spid.vsp, 0.0
13:31:23.091, r.s, Disabled
13:31:28.758, dt.re, 0.0
13:31:28.763, dt.le, 0.0
13:31:28.770, dt.rsp, -0.0
13:31:28.778, dt.rps, 0.0
13:31:28.785, dt.lps, 0.0
13:31:28.791, l.sl, true
13:31:28.797, lms.s, false
13:31:28.806, s.sp, 0.0
13:31:28.811, s.aes, 0.0
13:31:28.817, s.aest, 0.0
13:31:28.823, s.m, 0.0
13:31:28.826, s.hf, false
13:31:28.832, s.sf, false
13:31:28.837, so.sbrun, false
13:31:28.841, so.sbu, false
13:31:28.846, so.lbu, false
13:31:28.849, so.fbe, false
13:31:28.854, so.su, false
13:31:28.857, so.lu, false
13:31:28.863, so.fe, false
13:31:28.867, i.ljs, 0.0
13:31:28.873, i.rjs, 0.0
13:31:28.879, i.jx, -0.0
13:31:28.886, i.jy, 0.0
13:31:28.892, i.ld, false
13:31:28.894, i.lu, false
13:31:28.899, i.sd, false
13:31:28.902, i.su, false
13:31:28.907, i.ssd, false
13:31:28.909, i.ssu, false
13:31:28.914, i.sf, false
13:31:28.917, r.s, Teleop
13:32:32.763, r.s, Disabled
13:38:23.370, spid.vsp, 0.0
13:38:23.372, r.s, Disabled
13:38:23.410, so.fe, false
13:38:23.412, so.su, false
13:38:23.417, s.sf, false
13:38:23.418, i.jy, 0.0
13:38:23.420, lms.s, false
13:38:23.424, i.jx, -0.0
13:38:23.426, dt.rps, 0.0
13:38:23.427, dt.rsp, -0.0
13:38:23.432, i.ld, false
13:38:23.435, i.su, false
13:38:23.436, s.aest, 0.0
13:38:23.441, i.ssu, false
13:38:23.443, s.hf, false
13:38:23.445, i.ljs, 0.0
13:38:23.449, dt.le, 0.0
13:38:23.451, dt.re, 0.0
13:38:23.453, i.sf, false
13:38:23.458, i.sd, false
13:38:23.460, so.lu, false
13:38:23.461, i.ssd, false
13:38:23.463, so.sbu, false
13:38:23.464, so.sbrun, false
13:38:23.466, i.rjs, 0.0
13:38:23.467, s.m, 0.0
13:38:23.469, s.aes, 0.0
13:38:23.473, dt.lps, 0.0
13:38:23.475, so.lbu, false
13:38:23.477, so.fbe, false
13:38:23.481, s.sp, 0.0
13:38:23.483, i.lu, false
13:38:23.485, l.sl, true
13:39:40.182, dt.re, 4.490376831274645
13:39:40.190, dt.le, -4.7907678808327505
13:39:40.194, dt.rps, 0.0017961507325098582
13:39:40.198, dt.lps, -0.0023953839404163755
13:39:40.200, so.sbrun, true
13:39:40.382, dt.re, 0.0
13:39:40.385, dt.le, 0.0
13:39:40.389, dt.rps, 0.0
13:39:40.390, dt.lps, 0.0
13:39:41.783, s.sp, -0.92
13:39:41.785, s.aes, -0.1414999999999276
13:39:41.789, s.aest, -147.0
13:39:41.791, s.m, -10.848084375000095
13:39:41.792, so.sbu, true
13:39:41.798, so.su, true
13:39:41.984, dt.re, 12.500000000011369
13:39:41.986, dt.le, -12.499999999993605
13:39:41.990, dt.rps, 0.005000000000004548
13:39:41.991, dt.lps, -0.006249999999996802
13:39:41.992, s.aes, -0.5240000000004765
13:39:41.997, s.aest, -1930.0
13:39:41.999, s.m, -6.273900684146475
13:39:42.185, dt.re, 0.0
13:39:42.186, dt.le, 0.0
13:39:42.190, dt.rps, 0.0
13:39:42.191, dt.lps, 0.0
13:39:42.192, s.aes, -0.8209999999995801
13:39:42.194, s.aest, -5314.0
13:39:42.198, s.m, -2.5413808305659806
13:39:42.385, dt.le, 12.499999999993605
13:39:42.387, dt.lps, 0.006249999999996802
13:39:42.391, s.aes, -0.9414999999995183
13:39:42.392, s.aest, -9748.0
13:39:42.404, s.m, -0.21398390816291796
13:39:42.587, dt.le, 0.0
13:39:42.588, dt.lps, 0.0
13:39:42.592, s.aes, -0.8850000000008049
13:39:42.593, s.aest, -14209.0
13:39:42.594, s.m, -0.6740401645675629
13:39:42.787, s.aes, -0.8929999999995433
13:39:42.789, s.aest, -18705.0
13:39:42.793, s.m, -0.5225332072864313
13:39:42.987, s.aes, -0.8647619047624572
13:39:42.989, s.aest, -23187.0
13:39:42.993, s.m, -0.6443948517509452
13:39:43.187, s.aes, -0.8949999999995422
13:39:43.189, s.aest, -27655.0
13:39:43.193, s.m, -0.5439258111482159
13:39:43.387, s.aes, -0.92210526315763
13:39:43.389, s.aest, -32135.0
13:39:43.393, s.m, -0.47896061895101594
13:39:43.587, s.aes, -0.8930000000008121
13:39:43.589, s.aest, -36607.0
13:39:43.590, s.m, -0.5440446707529082
13:39:43.787, s.aes, -0.8939999999995426
13:39:43.789, s.aest, -41079.0
13:39:43.793, s.m, -0.5286202182785019
13:39:43.987, s.aes, -0.8661904761910296
13:39:43.989, s.aest, -45557.0
13:39:43.993, s.m, -0.6621260429359027
13:39:44.187, s.aes, -0.9019999999995385
13:39:44.189, s.aest, -50033.0
13:39:44.192, s.m, -0.47602566448268413
13:39:44.387, s.aes, -0.9062500000005024
13:39:44.389, s.aest, -54499.0
13:39:44.392, s.m, -0.5237873097973916
13:39:44.587, s.aes, -0.8920000000008113
13:39:44.589, s.aest, -58973.0
13:39:44.592, s.m, -0.5301938272661064
13:39:44.788, s.aes, -0.8964999999995413
13:39:44.789, s.aest, -63448.0
13:39:44.793, s.m, -0.5331401728237343
13:39:44.988, s.aes, -0.8980952380958118
13:39:44.990, s.aest, -67953.0
13:39:44.994, s.m, -0.4827965413831262
13:39:45.188, s.aes, -0.923157894736577
13:39:45.190, s.aest, -72392.0
13:39:45.191, s.m, -0.508183346556114
13:39:45.389, s.aes, -0.8889999999995453
13:39:45.391, s.aest, -76861.0
13:39:45.396, s.m, -0.5825858585875576
13:39:45.589, s.aes, -0.8875000000008072
13:39:45.591, s.aest, -81338.0
13:39:45.592, s.m, -0.5353262646124894
13:39:45.790, s.aes, -0.887499999999546
13:39:45.792, s.aest, -85810.0
13:39:45.805, s.m, -0.5519961366104436
13:39:45.824, so.fbe, true
13:39:45.827, so.fe, true
13:39:45.828, i.sf, true
13:39:45.991, dt.re, 11.90476190476951
13:39:45.992, dt.le, -11.904761904753398
13:39:45.996, dt.rps, 0.004761904761907804
13:39:45.997, dt.lps, -0.005952380952376699
13:39:45.998, s.aes, -0.7971428571433664
13:39:46.000, s.aest, -89784.0
13:39:46.004, s.m, -1.9673276823740706
13:39:46.005, so.fbe, false
13:39:46.007, so.fe, false
13:39:46.011, i.sf, false
13:39:46.191, dt.re, 0.0
13:39:46.192, dt.le, 0.0
13:39:46.193, dt.rps, 0.0
13:39:46.197, dt.lps, 0.0
13:39:46.198, s.aes, -0.8966666666660259
13:39:46.199, s.aest, -94289.0
13:39:46.200, s.m, -0.30987330756379017
13:39:46.393, dt.le, -12.499999999993605
13:39:46.394, dt.lps, -0.006249999999996802
13:39:46.398, s.aes, -0.8879999999995457
13:39:46.399, s.aest, -98726.0
13:39:46.400, s.m, -0.6017070731048662
13:39:46.594, dt.le, 0.0
13:39:46.595, dt.lps, 0.0
13:39:46.599, s.aes, -0.8915000000008109
13:39:46.600, s.aest, -103215.0
13:39:46.601, s.m, -0.5304263101372981
13:39:46.795, s.aes, -0.9064999999995362
13:39:46.796, s.aest, -107691.0
13:39:46.800, s.m, -0.43592221511716345
13:39:46.995, s.aes, -0.8640909090912484
13:39:46.996, s.aest, -112182.0
13:39:46.997, s.m, -0.6717291427661203
13:39:47.195, s.aes, -0.9299999999997328
13:39:47.196, s.aest, -116634.0
13:39:47.200, s.m, -0.45741766530457795
13:39:47.395, s.aes, -0.8909999999995443
13:39:47.396, s.aest, -121099.0
13:39:47.400, s.m, -0.5322831932809604
13:39:47.595, s.aes, -0.8920000000008113
13:39:47.596, s.aest, -125585.0
13:39:47.600, s.m, -0.4919955975590511
13:39:47.794, s.aes, -0.8944999999995423
13:39:47.797, s.aest, -130043.0
13:39:47.800, s.m, -0.5622578459595389
13:39:47.995, s.aes, -0.9314999999995234
13:39:47.996, s.aest, -134545.0
13:39:47.997, s.m, -0.47215135416150045
13:39:48.195, dt.re, -12.499999999993605
13:39:48.197, dt.rps, -0.004999999999997442
13:39:48.198, s.aes, -0.7304999999996263
13:39:48.201, s.aest, -138660.0
13:39:48.202, s.m, -2.2017437926741024
13:39:48.203, so.fbe, true
13:39:48.204, so.fe, true
13:39:48.205, i.sf, true
13:39:48.399, dt.re, 0.0
13:39:48.400, dt.rps, 0.0
13:39:48.401, s.aes, -0.924499999999527
13:39:48.404, s.aest, -142914.0
13:39:48.405, s.m, -0.6309360447773761
13:39:48.405, so.fbe, false
13:39:48.406, so.fe, false
13:39:48.409, i.sf, false
13:39:48.603, s.aes, -0.9131578947379457
13:39:48.604, s.aest, -147422.0
13:39:48.605, s.m, -0.6517409484461841
13:39:48.803, s.aes, -0.8999999999995396
13:39:48.804, s.aest, -151912.0
13:39:48.805, s.m, -0.5757363275489588
13:39:49.003, s.aes, -0.8666666666672203
13:39:49.004, s.aest, -156388.0
13:39:49.005, s.m, -0.6371343164980681
13:39:49.203, s.aes, -0.8699999999993784
13:39:49.204, s.aest, -160868.0
13:39:49.205, s.m, -0.5622651173083013
13:39:49.404, s.aes, -0.9126315789471063
13:39:49.405, s.aest, -165318.0
13:39:49.406, s.m, -0.5352278597540316
13:39:49.605, s.aes, -0.8995000000008181
13:39:49.606, s.aest, -169791.0
13:39:49.607, s.m, -0.48664388584286644
13:39:49.805, s.aes, -0.858095238094625
13:39:49.806, s.aest, -174272.0
13:39:49.807, s.m, -0.5830216680372633
13:39:50.005, s.aes, -0.8994999999995399
13:39:50.006, s.aest, -178753.0
13:39:50.009, s.m, -0.5579156447794212
13:39:50.205, s.aes, -0.9314999999995234
13:39:50.206, s.aest, -183233.0
13:39:50.209, s.m, -0.4600835767164281
13:39:50.405, dt.le, 12.499999999993605
13:39:50.406, dt.lps, 0.006249999999996802
13:39:50.407, s.aes, -0.7474999999996176
13:39:50.410, s.aest, -187617.0
13:39:50.411, s.m, -1.1345706862617808
13:39:50.412, so.fbe, true
13:39:50.413, so.fe, true
13:39:50.414, i.sf, true
13:39:50.611, dt.le, -12.500000000011369
13:39:50.612, dt.lps, -0.006250000000005684
13:39:50.613, s.aes, -0.8860000000008059
13:39:50.615, s.aest, -191559.0
13:39:50.616, s.m, -1.1943010503376355
13:39:50.617, so.sbu, false
13:39:50.618, so.fbe, false
13:39:50.619, so.su, false
13:39:50.622, so.fe, false
13:39:50.623, i.sf, false
13:39:50.807, dt.le, 25.000000000022737
13:39:50.808, dt.lps, 0.012500000000011368
13:39:50.812, s.aes, -0.8589999999995606
13:39:50.812, s.aest, -196164.0
13:39:50.813, s.m, -0.5246068339696139
13:39:51.007, dt.re, 11.90476190476951
13:39:51.009, dt.le, 0.0
13:39:51.012, dt.rps, 0.004761904761907804
13:39:51.013, dt.lps, 0.0
13:39:51.014, s.aes, -0.873809523810082
13:39:51.016, s.aest, -200596.0
13:39:51.019, s.m, -0.6260058711715537
13:39:51.208, dt.re, 0.0
13:39:51.209, dt.le, 12.500000000011369
13:39:51.212, dt.rps, 0.0
13:39:51.213, dt.lps, 0.006250000000005684
13:39:51.214, s.aes, -0.891499999999544
13:39:51.215, s.aest, -205071.0
13:39:51.216, s.m, -0.5238323150636698
13:39:51.412, dt.re, 12.500000000011369
13:39:51.413, dt.le, -12.499999999993605
13:39:51.414, dt.rps, 0.005000000000004548
13:39:51.417, dt.lps, -0.006249999999996802
13:39:51.419, s.aes, -0.8939999999995426
13:39:51.420, s.aest, -209540.0
13:39:51.421, s.m, -0.5152413382601735
13:39:51.610, dt.re, 0.0
13:39:51.611, dt.le, 0.0
13:39:51.612, dt.rps, 0.0
13:39:51.615, dt.lps, 0.0
13:39:51.616, s.aes, -0.8850000000008049
13:39:51.617, s.aest, -214012.0
13:39:51.618, s.m, -0.5293193315502176
13:39:51.812, dt.le, 12.500000000011369
13:39:51.815, dt.lps, 0.006250000000005684
13:39:51.816, s.aes, -0.8509523809517728
13:39:51.819, s.aest, -218487.0
13:39:51.820, s.m, -0.687464219093561
13:39:52.012, dt.le, 0.0
13:39:52.013, dt.lps, 0.0
13:39:52.014, s.aes, -0.9124999999995331
13:39:52.017, s.aest, -222985.0
13:39:52.018, s.m, -0.4492468045639253
13:39:52.213, s.aes, -0.8964999999995413
13:39:52.214, s.aest, -227446.0
13:39:52.215, s.m, -0.5284347078051488
13:39:52.413, s.aes, -0.8974999999995409
13:39:52.414, s.aest, -231917.0
13:39:52.415, s.m, -0.5653122314538596
13:39:52.613, s.aes, -0.8960000000008149
13:39:52.614, s.aest, -236395.0
13:39:52.615, s.m, -0.5248762374718318
13:39:52.813, s.aes, -0.8949999999995422
13:39:52.814, s.aest, -240867.0
13:39:52.815, s.m, -0.5275351322839978
13:39:53.013, s.aes, -0.9324999999995229
13:39:53.014, s.aest, -245357.0
13:39:53.015, s.m, -0.3988464233627292
13:39:53.213, s.aes, -0.9084999999995352
13:39:53.214, s.aest, -249818.0
13:39:53.215, s.m, -0.4848971389410308
13:39:53.413, s.aes, -0.8949999999995422
13:39:53.414, s.aest, -254290.0
13:39:53.415, s.m, -0.5284462288102731
13:39:53.613, s.aes, -0.895000000000814
13:39:53.614, s.aest, -258758.0
13:39:53.615, s.m, -0.5665164638310726
13:39:53.813, s.aes, -0.8989999999995401
13:39:53.815, s.aest, -263232.0
13:39:53.815, s.m, -0.5322184257980244
13:39:54.014, s.aes, -0.9134999999995326
13:39:54.015, s.aest, -267712.0
13:39:54.016, s.m, -0.4843509282924461
13:39:54.214, s.aes, -0.900999999999539
13:39:54.215, s.aest, -272156.0
13:39:54.216, s.m, -0.5380805303478156
13:39:54.414, s.aes, -0.891499999999544
13:39:54.415, s.aest, -276632.0
13:39:54.418, s.m, -0.5338021624613902
13:39:54.615, s.aes, -0.8975000000008162
13:39:54.617, s.aest, -281098.0
13:39:54.617, s.m, -0.5500579026236665
13:39:54.815, s.aes, -0.891499999999544
13:39:54.816, s.aest, -285572.0
13:39:54.817, s.m, -0.5771790015569823
13:39:55.015, s.aes, -0.9170000000008339
13:39:55.016, s.aest, -290055.0
13:39:55.019, s.m, -0.4694264692576053
13:39:55.215, s.aes, -0.8919999999995436
13:39:55.216, s.aest, -294519.0
13:39:55.216, s.m, -0.5425732603734523
13:39:56.315, r.s, Teleop
13:39:56.418, s.aes, -0.906999999999536
13:39:56.419, s.aest, -321060.0
13:39:56.420, s.m, -0.8633373736596331
13:39:56.422, so.sbrun, false
13:39:56.618, s.aes, -0.8885000000008081
13:39:56.619, s.aest, -325621.0
13:39:56.620, s.m, -0.5071954865906082
13:39:56.822, s.aes, -0.9004999999995393
13:39:56.824, s.aest, -330083.0
13:39:56.827, s.m, -0.4829447466828115
13:39:57.023, s.aes, -0.8945000000008136
13:39:57.024, s.aest, -334552.0
13:39:57.025, s.m, -0.5437141245480489
13:39:57.223, s.aes, -0.9044999999995372
13:39:57.224, s.aest, -339030.0
13:39:57.225, s.m, -0.5162679632618274
13:39:57.423, s.aes, -0.8999999999995396
13:39:57.433, s.aest, -343501.0
13:39:57.439, s.m, -0.5241851044550294
13:39:57.623, dt.rsp, -0.028433945756780384
13:39:57.624, dt.rps, 0.029002624671915993
13:39:57.624, dt.lps, -0.0369641294838145
13:39:57.626, s.aes, -0.8965000000008153
13:39:57.627, s.aest, -347971.0
13:39:57.628, s.m, -0.5468015966867588
13:39:57.629, i.jx, -0.011373578302712153
13:39:57.824, dt.re, -850.0000000007731
