16:24:20.548, so.fe, false
16:24:20.552, so.su, false
16:24:20.558, s.sf, false
16:24:20.561, r.s, Teleop
16:24:20.568, i.jy, 0.0
16:24:20.572, lms.s, false
16:24:20.579, i.jx, -0.0
16:24:20.586, dt.rps, 0.0
16:24:20.592, spid.vsp, 0.0
16:24:20.599, dt.rsp, -0.0
16:24:20.605, i.ld, false
16:24:20.612, i.su, false
16:24:20.615, s.aest, 0.0
16:24:20.623, i.ssu, false
16:24:20.628, s.hf, false
16:24:20.631, i.ljs, 0.0
16:24:20.634, dt.le, 0.0
16:24:20.640, dt.re, 0.0
16:24:20.644, i.sf, false
16:24:20.653, i.sd, false
16:24:20.657, so.lu, false
16:24:20.665, i.ssd, false
16:24:20.672, so.sbu, false
16:24:20.676, so.sbrun, false
16:24:20.682, i.rjs, 0.0
16:24:20.689, s.m, 0.0
16:24:20.692, s.aes, 0.0
16:24:20.699, dt.lps, 0.0
16:24:20.705, so.lbu, false
16:24:20.707, so.fbe, false
16:24:20.712, s.sp, 0.0
16:24:20.714, i.lu, false
16:24:20.721, l.sl, true
16:24:30.526, r.s, Disabled
16:24:31.627, r.s, Teleop
16:34:52.868, spid.vsp, 0.0
16:34:52.870, r.s, Disabled
16:34:52.982, so.fe, false
16:34:52.985, so.su, false
16:34:53.087, s.sf, false
16:34:53.089, lms.s, false
16:34:53.093, i.jy, 0.0
16:34:53.095, i.jx, -0.0
16:34:53.097, dt.rps, 0.0
16:34:53.100, dt.rsp, -0.0
16:34:53.102, i.ld, false
16:34:53.107, s.aest, 0.0
16:34:53.109, i.su, false
16:34:53.111, i.ssu, false
16:34:53.115, s.hf, false
16:34:53.117, i.ljs, 0.0
16:34:53.118, dt.le, 0.0
16:34:53.120, dt.re, 0.0
16:34:53.124, i.sf, false
16:34:53.127, so.lu, false
16:34:53.128, i.sd, false
16:34:53.130, i.ssd, false
16:34:53.132, so.sbrun, false
16:34:53.133, so.sbu, false
16:34:53.137, s.m, 0.0
16:34:53.139, i.rjs, 0.0
16:34:53.141, dt.lps, 0.0
16:34:53.143, s.aes, 0.0
16:34:53.147, so.lbu, false
16:34:53.149, s.sp, 0.0
16:34:53.150, so.fbe, false
16:34:53.155, i.lu, false
16:34:53.156, l.sl, true
16:40:42.630, dt.re, 2.592477863052265
16:40:42.637, dt.le, -2.481861496218467
16:40:42.642, dt.rps, 0.001036991145220906
16:40:42.647, dt.lps, -0.0012409307481092335
16:40:42.649, so.sbrun, true
16:40:42.831, dt.re, 0.0
16:40:42.833, dt.le, 0.0
16:40:42.836, dt.rps, 0.0
16:40:42.838, dt.lps, 0.0
16:40:44.233, s.sp, -0.92
16:40:44.234, s.aes, -0.14350000000013052
16:40:44.239, s.aest, -150.0
16:40:44.240, s.m, -10.83349687499945
16:40:44.241, so.sbu, true
16:40:44.245, so.su, true
16:40:44.434, dt.le, -12.500000000011369
16:40:44.435, dt.lps, -0.006250000000005684
16:40:44.440, s.aes, -0.5235000000004761
16:40:44.441, s.aest, -1960.0
16:40:44.443, s.m, -6.158035055805064
16:40:44.635, dt.re, 11.904761904753398
16:40:44.637, dt.le, 0.0
16:40:44.640, dt.rps, 0.00476190476190136
16:40:44.642, dt.lps, 0.0
16:40:44.644, s.aes, -0.7959999999984616
16:40:44.649, s.aest, -5363.0
16:40:44.650, s.m, -2.53653213168203
16:40:44.838, dt.re, -11.904761904753398
16:40:44.839, dt.le, 37.499999999927525
16:40:44.844, dt.rps, -0.00476190476190136
16:40:44.845, dt.lps, 0.018749999999963764
16:40:44.847, s.aes, -0.9066666666660187
16:40:44.851, s.aest, -9853.0
16:40:44.855, s.m, -0.2125459873018972
16:40:45.043, dt.re, 0.0
16:40:45.044, dt.le, 0.0
16:40:45.048, dt.rps, 0.0
16:40:45.049, dt.lps, 0.0
16:40:45.051, s.aes, -0.8975000000008162
16:40:45.055, s.aest, -14297.0
16:40:45.057, s.m, -0.6560056701062731
16:40:45.243, s.aes, -0.8870000000008068
16:40:45.245, s.aest, -18792.0
16:40:45.249, s.m, -0.5981831496067079
16:40:45.443, s.aes, -0.9045000000008226
16:40:45.445, s.aest, -23277.0
16:40:45.449, s.m, -0.5303615692942495
16:40:45.643, s.aes, -0.8939999999982723
16:40:45.645, s.aest, -27759.0
16:40:45.649, s.m, -0.5298058448733427
16:40:45.844, s.aes, -0.9052631578944769
16:40:45.846, s.aest, -32237.0
16:40:45.849, s.m, -0.5164639330886457
16:40:46.043, s.aes, -0.8825000000008026
16:40:46.045, s.aest, -36714.0
16:40:46.049, s.m, -0.5827451983122209
16:40:46.244, s.aes, -0.8890000000008085
16:40:46.246, s.aest, -41200.0
16:40:46.249, s.m, -0.526032933237706
16:40:46.443, s.aes, -0.89050000000081
16:40:46.445, s.aest, -45672.0
16:40:46.449, s.m, -0.5502757760497697
16:40:46.643, s.aes, -0.900500000000819
16:40:46.645, s.aest, -50177.0
16:40:46.648, s.m, -0.5056801466483049
16:40:46.843, s.aes, -0.8844999999982905
16:40:46.845, s.aest, -54630.0
16:40:46.849, s.m, -0.5361685404122781
16:40:47.043, s.aes, -0.8740000000007949
16:40:47.045, s.aest, -59098.0
16:40:47.049, s.m, -0.5934025508154409
16:40:47.243, s.aes, -0.9265000000008426
16:40:47.245, s.aest, -63589.0
16:40:47.249, s.m, -0.45497116487477074
16:40:47.443, s.aes, -0.8855000000008053
16:40:47.445, s.aest, -68060.0
16:40:47.446, s.m, -0.5459224673041554
16:40:47.643, s.aes, -0.9039999999982529
16:40:47.645, s.aest, -72548.0
16:40:47.649, s.m, -0.44458739865795543
16:40:47.843, s.aes, -0.87449999999831
16:40:47.845, s.aest, -77008.0
16:40:47.864, s.m, -0.5625811540185459
16:40:48.044, s.aes, -0.9030000000008213
16:40:48.048, s.aest, -81489.0
16:40:48.049, s.m, -0.5223199034306126
16:40:48.244, s.aes, -0.8930000000008121
16:40:48.245, s.aest, -85962.0
16:40:48.249, s.m, -0.5556359917500486
16:40:48.250, so.fbe, true
16:40:48.252, so.fe, true
16:40:48.253, i.sf, true
16:40:48.444, s.aes, -0.7995000000007272
16:40:48.446, s.aest, -89870.0
16:40:48.449, s.m, -2.078590522195635
16:40:48.450, so.fbe, false
16:40:48.452, so.fe, false
16:40:48.455, i.sf, false
16:40:48.645, dt.le, 12.500000000011369
16:40:48.647, dt.lps, 0.006250000000005684
16:40:48.650, s.aes, -0.9584999999981475
16:40:48.652, s.aest, -94381.0
16:40:48.653, s.m, -0.0667610281218931
16:40:48.846, dt.le, 0.0
16:40:48.848, dt.lps, 0.0
16:40:48.851, s.aes, -0.9004999999982596
16:40:48.852, s.aest, -98814.0
16:40:48.853, s.m, -0.6339870064397692
16:40:49.046, s.aes, -0.8920000000008113
16:40:49.048, s.aest, -103316.0
16:40:49.051, s.m, -0.5228870078380369
16:40:49.246, s.aes, -0.9045000000008226
16:40:49.247, s.aest, -107788.0
16:40:49.251, s.m, -0.5136995245287362
16:40:49.447, s.aes, -0.8856000000008054
16:40:49.448, s.aest, -112369.0
16:40:49.451, s.m, -0.5980988221971529
16:40:49.647, s.aes, -0.8904999999982789
16:40:49.648, s.aest, -116735.0
16:40:49.652, s.m, -0.5630452975159697
16:40:49.847, s.aes, -0.8994999999982616
16:40:49.848, s.aest, -121218.0
16:40:49.852, s.m, -0.5406734629743914
16:40:50.047, s.aes, -0.9105000000008282
16:40:50.049, s.aest, -125697.0
16:40:50.051, s.m, -0.5177628064965484
16:40:50.247, s.aes, -0.895000000000814
16:40:50.249, s.aest, -130171.0
16:40:50.252, s.m, -0.545501180580648
16:40:50.447, s.aes, -0.9025000000008209
16:40:50.449, s.aest, -134648.0
16:40:50.452, s.m, -0.537085903032039
16:40:50.647, s.aes, -0.7359999999985776
16:40:50.649, s.aest, -138762.0
16:40:50.653, s.m, -2.2354922005859335
16:40:50.654, so.fbe, true
16:40:50.655, so.fe, true
16:40:50.656, i.sf, true
16:40:50.848, s.aes, -0.9468421052628859
16:40:50.849, s.aest, -143048.0
16:40:50.852, s.m, -0.44202853782277635
16:40:50.853, so.fbe, false
16:40:50.854, so.fe, false
16:40:50.855, i.sf, false
16:40:51.048, s.aes, -0.8920000000008113
16:40:51.049, s.aest, -147568.0
16:40:51.050, s.m, -0.6249979180964765
16:40:51.248, s.aes, -0.89050000000081
16:40:51.249, s.aest, -152047.0
16:40:51.250, s.m, -0.5135158655051073
16:40:51.448, s.aes, -0.8915000000008109
16:40:51.450, s.aest, -156519.0
16:40:51.453, s.m, -0.5671561700423808
16:40:51.648, s.aes, -0.9009999999982587
16:40:51.649, s.aest, -161002.0
16:40:51.652, s.m, -0.5346432299579338
16:40:51.848, s.aes, -0.9024999999982558
16:40:51.849, s.aest, -165482.0
16:40:51.852, s.m, -0.5119615939488649
16:40:52.049, s.aes, -0.889500000000809
16:40:52.050, s.aest, -169950.0
16:40:52.053, s.m, -0.5819663148751952
16:40:52.250, s.aes, -0.8965000000008153
16:40:52.251, s.aest, -174436.0
16:40:52.252, s.m, -0.5284578664307664
16:40:52.449, s.aes, -0.8910000000008104
16:40:52.451, s.aest, -178905.0
16:40:52.454, s.m, -0.5516844584630599
16:40:52.651, s.aes, -0.8894999999982809
16:40:52.652, s.aest, -183385.0
16:40:52.653, s.m, -0.5660140292697871
16:40:52.851, s.aes, -0.7378260869557339
16:40:52.852, s.aest, -187828.0
16:40:52.853, s.m, -1.1774222665530452
16:40:52.856, so.fbe, true
16:40:52.857, so.fe, true
16:40:52.858, i.sf, true
16:40:53.052, dt.re, 12.500000000011369
16:40:53.053, dt.le, -12.499999999975842
16:40:53.054, dt.rps, 0.005000000000004548
16:40:53.057, dt.lps, -0.006249999999987921
16:40:53.058, s.aes, -0.8770000000007976
16:40:53.059, s.aest, -191730.0
16:40:53.060, s.m, -1.1858470688943945
16:40:53.061, so.sbu, false
16:40:53.062, so.fbe, false
16:40:53.064, so.su, false
16:40:53.065, so.fe, false
16:40:53.066, i.sf, false
16:40:53.252, dt.re, -12.500000000011369
16:40:53.253, dt.le, 12.500000000011369
16:40:53.256, dt.rps, -0.005000000000004548
16:40:53.257, dt.lps, 0.006250000000005684
16:40:53.258, s.aes, -0.8825000000008026
16:40:53.259, s.aest, -196322.0
16:40:53.262, s.m, -0.4696494663473841
16:40:53.452, dt.re, 0.0
16:40:53.454, dt.le, 0.0
16:40:53.457, dt.rps, 0.0
16:40:53.458, dt.lps, 0.0
16:40:53.459, s.aes, -0.9020000000008205
16:40:53.460, s.aest, -200776.0
16:40:53.461, s.m, -0.4944867380073956
16:40:53.654, dt.le, 12.500000000011369
16:40:53.655, dt.lps, 0.006250000000005684
16:40:53.656, s.aes, -0.8819999999982954
16:40:53.659, s.aest, -205252.0
16:40:53.660, s.m, -0.5725937611756854
16:40:53.854, dt.le, 0.0
16:40:53.855, dt.lps, 0.0
16:40:53.856, s.aes, -0.9004999999982596
16:40:53.859, s.aest, -209734.0
16:40:53.860, s.m, -0.5446703328081458
16:40:54.053, s.aes, -0.9188888888874032
16:40:54.054, s.aest, -214215.0
16:40:54.057, s.m, -0.493177397158177
16:40:54.253, s.aes, -0.906315789473424
16:40:54.255, s.aest, -218682.0
16:40:54.256, s.m, -0.5237499926389719
16:40:54.453, s.aes, -0.8945000000008136
16:40:54.454, s.aest, -223154.0
16:40:54.457, s.m, -0.5576920881039404
16:40:54.655, dt.le, -12.500000000011369
16:40:54.656, dt.lps, -0.006250000000005684
16:40:54.657, s.aes, -0.890999999998278
16:40:54.659, s.aest, -227637.0
16:40:54.660, s.m, -0.538499740315001
16:40:54.858, dt.le, 0.0
16:40:54.859, dt.lps, 0.0
16:40:54.860, s.aes, -0.8949999999982702
16:40:54.862, s.aest, -232107.0
16:40:54.863, s.m, -0.5452154895260028
16:40:55.058, s.aes, -0.8940000000008131
16:40:55.060, s.aest, -236584.0
16:40:55.061, s.m, -0.5317731005252354
16:40:55.256, s.aes, -0.9144444444458537
16:40:55.258, s.aest, -241070.0
16:40:55.259, s.m, -0.42775189531860813
16:40:55.459, dt.le, -13.157894736838326
16:40:55.460, dt.lps, -0.006578947368419163
16:40:55.463, s.aes, -0.901578947368162
16:40:55.465, s.aest, -245526.0
16:40:55.466, s.m, -0.5516330908110849
16:40:55.660, dt.le, 0.0
16:40:55.661, dt.lps, 0.0
16:40:55.662, s.aes, -0.8864999999982867
16:40:55.665, s.aest, -250009.0
16:40:55.666, s.m, -0.5380927893770823
16:40:55.864, s.aes, -0.8930000000008121
16:40:55.865, s.aest, -254489.0
16:40:55.866, s.m, -0.5929089889366296
16:40:56.065, dt.re, -13.157894736838326
16:40:56.066, dt.rps, -0.005263157894735331
16:40:56.067, s.aes, -0.9121052631576327
16:40:56.069, s.aest, -258957.0
16:40:56.070, s.m, -0.48420168323154944
16:40:56.265, dt.re, 0.0
16:40:56.266, dt.rps, 0.0
16:40:56.267, s.aes, -0.924210526315524
16:40:56.269, s.aest, -263427.0
16:40:56.270, s.m, -0.47943326880290993
16:40:56.465, s.aes, -0.906315789473424
16:40:56.466, s.aest, -267898.0
16:40:56.469, s.m, -0.5166623635705655
16:40:56.665, s.aes, -0.8910526315786915
16:40:56.666, s.aest, -272372.0
16:40:56.669, s.m, -0.49934890449555314
16:40:56.865, s.aes, -0.9163157894734211
16:40:56.866, s.aest, -276842.0
16:40:56.867, s.m, -0.5134430960323043
16:40:57.065, s.aes, -0.9168421052628947
16:40:57.066, s.aest, -281318.0
16:40:57.067, s.m, -0.4835377425050611
16:40:57.265, s.aes, -0.9078947368418445
16:40:57.266, s.aest, -285782.0
16:40:57.267, s.m, -0.5499191038238987
