13:34:49.706, so.fe, false
13:34:49.709, so.su, false
13:34:49.716, spid.nto, true
13:34:49.722, s.sf, false
13:34:49.728, r.s, Disabled
13:34:49.735, lms.s, false
13:34:49.741, i.jy, 0.0
13:34:49.748, i.jx, -0.0
13:34:49.754, dt.rps, 0.0
13:34:49.760, spid.vsp, -0.94
13:34:49.766, dt.rsp, -0.0
13:34:49.773, i.ld, false
13:34:49.776, s.aest, -2439936.0
13:34:49.781, i.su, false
13:34:49.787, i.ssu, false
13:34:49.797, s.hf, false
13:34:49.802, i.ljs, 0.0
13:34:49.805, dt.le, 0.0
13:34:49.810, dt.re, 0.0
13:34:49.813, i.sf, false
13:34:49.819, so.lu, false
13:34:49.826, i.sd, false
13:34:49.828, i.ssd, false
13:34:49.835, so.sbrun, true
13:34:49.842, so.sbu, false
13:34:49.844, s.m, -0.4375172460476842
13:34:49.850, i.rjs, 0.0
13:34:49.852, dt.lps, 0.0
13:34:49.857, s.aes, -0.9536842105260419
13:34:49.859, so.lbu, false
13:34:49.864, s.sp, -0.94
13:34:49.866, so.fbe, false
13:34:49.871, i.lu, false
13:34:49.873, l.sl, true
13:43:40.947, spid.vsp, 0.0
13:43:40.956, r.s, Disabled
13:43:41.262, so.fe, false
13:43:41.387, so.su, false
13:43:41.389, s.sf, false
13:43:41.393, spid.nto, true
13:43:41.396, lms.s, false
13:43:41.399, i.jy, 0.0
13:43:41.402, i.jx, -0.0
13:43:41.406, dt.rps, 0.0
13:43:41.409, dt.rsp, -0.0
13:43:41.413, i.ld, false
13:43:41.418, s.aest, 0.0
13:43:41.424, i.su, false
13:43:41.426, i.ssu, false
13:43:41.428, s.hf, false
13:43:41.430, i.ljs, 0.0
13:43:41.435, dt.le, 0.0
13:43:41.438, dt.re, 0.0
13:43:41.440, i.sf, false
13:43:41.443, i.sd, false
13:43:41.445, so.lu, false
13:43:41.450, i.ssd, false
13:43:41.454, so.sbu, false
13:43:41.458, so.sbrun, false
13:43:41.461, i.rjs, 0.0
13:43:41.465, s.m, 0.0
13:43:41.467, s.aes, 0.0
13:43:41.469, dt.lps, 0.0
13:43:41.474, so.lbu, false
13:43:41.476, so.fbe, false
13:43:41.478, s.sp, 0.0
13:43:41.481, i.lu, false
13:43:41.484, l.sl, true
13:43:41.485, r.s, Teleop
13:45:08.413, r.s, Disabled
14:08:59.734, spid.vsp, 0.0
14:08:59.736, r.s, Disabled
14:08:59.905, so.fe, false
14:08:59.907, so.su, false
14:08:59.910, s.sf, false
14:08:59.912, spid.nto, true
14:08:59.913, lms.s, false
14:08:59.917, i.jy, 0.0
14:08:59.918, i.jx, -0.0
14:08:59.920, dt.rps, 0.0
14:08:59.923, dt.rsp, -0.0
14:08:59.926, i.ld, false
14:08:59.928, s.aest, 0.0
14:08:59.933, i.su, false
14:08:59.936, i.ssu, false
14:08:59.938, s.hf, false
14:08:59.940, i.ljs, 0.0
14:08:59.943, dt.le, 0.0
14:08:59.947, dt.re, 0.0
14:08:59.949, i.sf, false
14:08:59.952, i.sd, false
14:08:59.954, so.lu, false
14:08:59.959, i.ssd, false
14:08:59.962, so.sbu, false
14:08:59.964, so.sbrun, false
14:08:59.966, i.rjs, 0.0
14:08:59.968, s.m, 0.0
14:08:59.972, s.aes, 0.0
14:08:59.974, dt.lps, 0.0
14:08:59.976, so.lbu, false
14:08:59.978, so.fbe, false
14:08:59.981, s.sp, 0.0
14:08:59.985, i.lu, false
14:08:59.987, l.sl, true
14:09:09.051, dt.re, 3.487803041710586
14:09:09.053, dt.le, -3.4963126371702735
14:09:09.057, dt.rps, 0.0013951212166842344
14:09:09.062, dt.lps, -0.0017481563185851368
14:09:09.064, so.sbrun, true
14:09:09.252, dt.re, 0.0
14:09:09.254, dt.le, 0.0
14:09:09.257, dt.rps, 0.0
14:09:09.259, dt.lps, 0.0
14:09:10.652, so.sbu, true
14:09:10.654, so.su, true
14:09:11.251, dt.re, -11.363636363640827
14:09:11.253, dt.le, 34.090909090834394
14:09:11.258, dt.rps, -0.004545454545456331
14:09:11.260, dt.lps, 0.0170454545454172
14:09:11.461, dt.re, 0.0
14:09:11.463, dt.le, 35.71428571426019
14:09:11.466, dt.rps, 0.0
14:09:11.468, dt.lps, 0.017857142857130096
14:09:11.751, dt.le, 0.0
14:09:11.753, dt.lps, 0.0
14:09:14.751, so.fbe, true
14:09:14.753, so.fe, true
14:09:14.756, i.sf, true
14:09:14.951, s.aes, -4.5454545454445865E-4
14:09:14.953, s.aest, -64.0
14:09:14.957, s.m, 0.0651333593180666
14:09:14.958, so.fbe, false
14:09:14.960, so.fe, false
14:09:14.965, i.sf, false
14:09:15.152, s.aes, 0.005185185185187718
14:09:15.154, s.aest, -35.0
14:09:15.233, s.m, -0.07059164203739972
14:09:15.351, s.aes, 0.0057142857142970975
14:09:15.354, s.aest, -5.0
14:09:15.358, s.m, -0.0757632065196796
14:09:15.561, s.aes, 0.003043478260866316
14:09:15.562, s.aest, 22.0
14:09:15.563, s.m, -0.05662777590082976
14:09:15.751, s.aes, 0.0
14:09:15.752, s.aest, 29.0
14:09:15.755, s.m, -0.014412741222504223
14:09:15.952, s.m, -4.0712426655994434E-4
14:09:16.151, s.m, -1.150025285704626E-5
14:09:16.351, s.m, -3.248536789357101E-7
14:09:16.551, s.m, -9.17631238459307E-9
14:09:16.751, s.m, -2.5920811257397104E-10
14:09:16.952, s.m, -7.321987614215248E-12
14:09:16.954, so.fbe, true
14:09:16.957, so.fe, true
14:09:16.958, i.sf, true
14:09:17.151, s.m, -2.0682802745003664E-13
14:09:17.351, s.m, -5.842379855412789E-15
14:09:17.352, so.fbe, false
14:09:17.356, so.fe, false
14:09:17.357, i.sf, false
14:09:17.553, s.m, -1.6503277044103104E-16
14:09:17.751, s.m, -4.661767292349005E-18
14:09:17.951, s.m, -1.3168338766863401E-19
14:09:18.152, s.m, -3.71972977208609E-21
14:09:18.352, s.m, -1.0507315935827307E-22
14:09:18.552, s.m, -2.968056685294484E-24
14:09:18.752, s.m, -8.384025512246732E-26
14:09:18.955, s.m, -2.3682796941942474E-27
14:09:19.155, s.m, -6.689803963191637E-29
14:09:19.355, s.m, -1.889704040263743E-30
14:09:19.357, so.fbe, true
14:09:19.360, so.fe, true
14:09:19.361, i.sf, true
14:09:19.556, s.m, -5.337946193098065E-32
14:09:19.557, so.sbu, false
14:09:19.561, so.fbe, false
14:09:19.562, so.su, false
14:09:19.563, so.fe, false
14:09:19.564, i.sf, false
14:09:19.756, dt.re, -11.363636363640827
14:09:19.757, dt.le, 11.363636363640827
14:09:19.761, dt.rps, -0.004545454545456331
14:09:19.762, dt.lps, 0.005681818181820414
14:09:19.764, s.m, -1.5078376800439767E-33
14:09:19.958, dt.re, 12.500000000011369
14:09:19.960, dt.le, 0.0
14:09:19.963, dt.rps, 0.005000000000004548
14:09:19.965, dt.lps, 0.0
14:09:19.966, s.m, -4.2592682412200434E-35
14:09:20.156, dt.re, 0.0
14:09:20.158, dt.rps, 0.0
14:09:20.161, s.m, -1.2031378569964233E-36
14:09:20.356, s.m, -3.3985666573639076E-38
14:09:20.557, s.m, -9.600109627819669E-40
14:09:20.761, s.m, -2.711793357545657E-41
14:09:20.961, s.m, -7.66014503909255E-43
14:09:21.160, s.m, -2.1638013772937813E-44
14:09:21.361, s.m, -6.112203328376036E-46
14:09:21.560, s.m, -1.7265461571216485E-47
14:09:21.760, s.m, -4.877065556429306E-49
14:09:21.966, s.m, -1.377650307441691E-50
14:09:22.165, s.m, -3.891521136295179E-52
14:09:22.368, s.m, -1.0992584019637432E-53
14:09:22.572, s.m, -3.1051329081005025E-55
14:09:22.772, s.m, -8.771231913937829E-57
14:09:22.974, s.m, -2.4776559189263333E-58
