time, dt.le, dt.lps, dt.re, dt.rps, dt.rsp, i.jx, i.jy, i.ld, i.ljs, i.lu, i.rjs, i.sd, i.sf, i.ssd, i.ssu, i.su, l.sl, lms.s, r.s, s.aes, s.aest, s.hf, s.m, s.sf, s.sp, so.fbe, so.fe, so.lbu, so.lu, so.sbrun, so.sbu, so.su, spid.vsp
-53, , , , , , , , , , , , , , , , , , , Disabled, , , , , , , , , , , , , , 0.0
18547, 0.0, 0.0, 0.0, 0.0, 0.0, , , , , , , , , , , , true, , , , , , , , , , , , , , , , 
18647, , , , , , 0.0, 0.0, false, 0.0, false, 0.0, false, , false, , false, , false, Teleop, 0.0, 0.0, false, 0.0, false, 0.0, false, false, false, false, false, false, false, 
18747, , , , , , , , , , , , , false, , false, , , , , , , , , , , , , , , , , , 
19747, , , , , , , , , , , , , , , , , , , , -0.283000000000006, -530.0, , -35.85976045875006, , -3.0, , , , , true, , , 
19947, , , , , , , , , , , , , , , , , , , , -0.6365000000000135, -2954.0, , -31.27680353810534, , , , , , , , , , 
20147, , , , , , , , , , , , , , , , , , , , -0.9105263157895528, -6842.0, , -27.830550412264458, , , , , , , , , , 
20347, , , , , , , , , , , , , , , , , , , , -1.0765000000000229, -11813.0, , -25.315793819503856, , , , , , , , , , 
20547, , , , , , , , , , , , , , , , , , , , -1.2184999999998096, -17578.0, , -23.4524859218078, , , , , , , , , , 
20747, , , , , , , , , , , , , , , , , , , , -1.311000000000028, -23924.0, , -22.083481188481162, , , , , , , , , , 
20947, , , , , , , , , , , , , , , , , , , , -1.3433333333332824, -30726.0, , -21.248917649286806, , , , , , , , , , 
21147, , , , , , , , , , , , , , , , , , , , -1.4570000000000312, -37839.0, , -20.234988355368532, , , , , , , , , , 
21347, , , , , , , , , , , , , , , , , , , , -1.4790000000000314, -45201.0, , -19.70450802793048, , , , , , , , , , 
21547, , , , , , , , , , , , , , , , , , , , -1.5049999999997647, -52709.0, , -19.38630968749707, , , , , , , , , , 
21747, , , , , , , , , , , , , , , , , , , , -1.5215000000000323, -60265.0, , -19.35369489397189, , , , , , , , , , 
21947, , , , , , , , , , , , , , , , , , , , -1.5105000000000324, -67806.0, , -19.39249331280068, , , , , , , , , , 
22147, , , , , , , , , , , , , , , , , , , , -1.499500000000032, -75330.0, , -19.449097777714318, , , , , , , , , , 
22347, , , , , , , , , , , , , , , , , , , , -1.5190000000000323, -82808.0, , -19.419268947753334, , , , , , , , , , 
22547, , , , , , , , , , , , , , , , , , , , -1.4940000000000317, -90324.0, , -19.40522449908966, , , , , , , , , , 
22747, 12.500000000000266, 0.006250000000000133, , , , , , , , , , , , , , , , , , -1.5130000000000323, -97842.0, , -19.398457748755796, , , , , , , , , , 
22947, 0.0, 0.0, , , , , , , , , , , , , , , , , , -1.5805263157896108, -105359.0, , -19.29019453910827, , , , , , , , , , 
23147, , , , , , , , , , , , , , , , , , , , -1.501000000000032, -112882.0, , -19.408106628022114, , , , , , , , , , 
23347, 12.500000000000266, 0.006250000000000133, , , , , , , , , , , , , , , , , , , -120415.0, , -19.587212588746166, , , , , , , , , , 
23547, 0.0, 0.0, , , , , , , , , , , , , , , , , , -1.5185000000000324, -127948.0, , -19.371891592615608, , , , , , , , , , 
23747, , , , , , , , , , , , , , , , , , , , -1.438571428571374, -135492.0, , -19.633196510774834, , , , , , , , , , 
23947, , , , , , , , , , , , , , , , , , , , -1.503000000000032, -143021.0, , -19.39076979364513, , , , , , , , , , 
24147, , , , , , , , , , , , , , , , , , , , -1.464285714285659, -150579.0, , -19.54921524461999, , , , , , , , , , 
24347, 12.500000000000266, 0.006250000000000133, , , , , , , , , , , , , , , , , , -1.5095000000000323, -158109.0, , -19.36602300849456, , , , , , , , , , 
24547, , , , , , , , , , , , , , , , , , , , -1.505500000000032, -165648.0, , -19.401120380873877, , , , , , , , , , 
24747, 0.0, 0.0, , , , , , , , , , , , , , , , , , -1.452857142857088, -173209.0, , -19.52681340263988, , , , , , , , , , 
24947, , , , , , , , , , , , , , , , , , , , -1.507000000000032, -180757.0, , -19.400578404921188, , , , , , , , , , 
25147, , , , , , , , , , , , , , , , , , , , -1.5768421052632946, -188291.0, , -19.21101413040133, , , , , , , , , , 
25347, , , , , , , , , , , , , , , , , , , , -1.5160000000000322, -195845.0, , -19.42094458179989, , , , , , , , , , 
25547, , , , , , , , , , , , , , , , , , , , -1.503000000000032, -203386.0, , -19.278000623321763, , , , , , , , , , 
25747, , , , , , , , , , , , , , , , , , , , -1.4485714285713738, -210940.0, , -19.5988954583483, , , , , , , , , , 
25947, , , , , , , , , , , , , , , , , , , , -1.4438095238099575, -218492.0, , -19.494285159300286, , , , , , , , , , 
26147, -12.499999999998046, -0.006249999999999023, , , , , , , , , , , , , , , , , , -1.5155000000003016, -226045.0, , -19.460903955397033, , , , , , , , , , 
26347, 0.0, 0.0, , , , , , , , , , , , , , , , , , -1.5140000000003013, -233589.0, , -19.2343951268725, , , , , , , , , , 
26547, , , , , , , , , , , , , , , , , , , , -1.4423809523808977, -241141.0, , -19.52391758595133, , , , , , , , , , 
26747, , , , , , , , , , , , , , , , , , , , -1.475263157894313, -248619.0, , 18.59122514165649, , 0.0, , , , , , , , 
26947, , , , , , , , , , , , , , , , , , , , -1.1395238095241518, -254755.0, , 14.996810138852583, , , , , , , , , , 
