time, dt.le, dt.lps, dt.re, dt.rps, dt.rsp, i.jx, i.jy, i.ld, i.ljs, i.lu, i.rjs, i.sd, i.sf, i.ssd, i.ssu, i.su, l.sl, lms.s, r.s, s.aes, s.aest, s.hf, s.m, s.sf, s.sp, so.fbe, so.fe, so.lbu, so.lu, so.sbrun, so.sbu, so.su, spid.nto, spid.vsp
-79, , , , , , , , , , , , , , , , , , , Disabled, , , , , , , , , , , , , , , 0.0
68821, -16.56133128460847, -0.008280665642304235, 14.861064807433069, 0.005944425922973228, 0.0, , , , , , , , , , , , true, false, , , , , , , , , , , , , , , , 
68921, , , , , , 0.0, 0.0, false, 0.0, false, 0.0, false, , false, false, false, , , , 0.0, 0.0, false, 0.0, false, 0.0, false, false, false, false, false, false, false, , 
69021, 0.0, 0.0, 0.0, 0.0, , , , , , , , , false, , , , , , Teleop, , , , , , , , , , , , , , , 
82221, , , , , , , , , , , , , , , , , , , Disabled, , , , , , , , , , , , , , , 
86221, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , true, , , , 
87821, , , , , , , , , , , , , , , , , , , , -0.13550000000002696, -141.0, , -10.88699062499984, , -0.92, , , , , , true, true, , 
88021, , , , , , , , , , , , , , , , , , , , -0.49700000000009886, -1850.0, , -6.517391001472759, , , , , , , , , , , 
88221, , , , , , , , , , , , , , , , , , , , -0.7670000000001527, -5077.0, , -2.979690665406388, , , , , , , , , , , 
88421, 12.499999999993605, 0.006249999999996802, -11.904761904761454, -0.004761904761904582, , , , , , , , , , , , , , , , -0.9071428571428227, -9367.0, , -0.5170595403985407, , , , , , , , , , , 
88621, 0.0, 0.0, 0.0, 0.0, , , , , , , , , , , , , , , , -0.8795000000001749, -13880.0, , -0.6572072561334898, , , , , , , , , , , 
88821, , , , , , , , , , , , , , , , , , , , -0.8995000000001789, -18359.0, , -0.4706525487359668, , , , , , , , , , , 
89021, , , , , , , , , , , , , , , , , , , , -0.8944999999995423, -22825.0, , -0.5657512442351618, , , , , , , , , , , 
89221, , , , , , , , , , , , , , , , , , , , -0.9005000000001792, -27299.0, , -0.5417692622781742, , , , , , , , , , , 
89421, , , , , , , , , , , , , , , , , , , , -0.8980000000001787, -31772.0, , -0.5381235929924079, , , , , , , , , , , 
89621, , , , , , , , , , , , , , , , , , , , -0.8990000000001789, -36238.0, , -0.5471718286478591, , , , , , , , , , , 
89821, , , , , , , , , , , , , , , , , , , , -0.9035000000001797, -40713.0, , -0.528620964175012, , , , , , , , , , , 
90021, , , , , , , , , , , , , , , , , , , , -0.8879999999995457, -45182.0, , -0.5516141373405353, , , , , , , , , , , 
90221, , , , , , , , , , , , , , , , , , , , -0.8980000000001787, -49656.0, , -0.5286122547220985, , , , , , , , , , , 
90421, , , , , , , , , , , , , , , , , , , , -0.8950000000001781, -54121.0, , -0.5524262325988566, , , , , , , , , , , 
90621, , , , , , , , , , , , , , , , , , , , -0.8985000000001787, -58594.0, , -0.5455983196050366, , , , , , , , , , , 
90821, , , , , , , , , , , , , , , , , , , , -0.9010000000001793, -63061.0, , -0.5590583416935079, , , , , , , , , , , 
91021, , , , , , , , , , , , , , , , , , , , -0.9014999999995389, -67537.0, , -0.5318437613999231, , , , , , , , , , , 
91221, , , , , , , , , , , , , , , , , , , , -0.8870000000001765, -72004.0, , -0.5546814592191841, , , , , , , , , , , 
91421, , , , , , , , , , , , , , , , , , , , -0.8915000000001774, -76474.0, , -0.5573810432126284, , , , , , , , , , , 
91621, , , , , , , , , , , , , , , , , , , , -0.8975000000001786, -80945.0, , -0.5433208686643557, , , , , , , , , , , 
