time, dt.le, dt.lps, dt.re, dt.rps, dt.rsp, i.jx, i.jy, i.ld, i.ljs, i.lu, i.rjs, i.sd, i.sf, i.ssd, i.ssu, i.su, l.sl, lms.s, r.s, s.aes, s.aest, s.hf, s.m, s.sf, s.sp, so.fbe, so.fe, so.lbu, so.lu, so.sbrun, so.sbu, so.su, spid.nto, spid.vsp
-1, 0.0, , 0.0, 0.0, 0.0, 0.0, 0.0, false, 0.0, , , , false, , false, false, , false, Disabled, , -1642293.0, false, , false, , , false, , false, , , false, false, 0.0
99, , 0.0, , , , , , , , false, 0.0, false, , false, , , true, , , -0.9024999999995382, , , -0.494308975407319, , -0.92, false, , false, , true, false, , , 
14399, , , , , , , , , , , , , , , , , , , , -0.1894736842107553, -1747142.0, , -9.06156224494884, , , , , , , , , , , 
14599, , , , , , , , , , , , , , , , , , , , -0.5464999999997204, -1749135.0, , -5.7822861234345355, , , , , , , , , , , 
14799, , , , , , , , , , , , , , , , , , , , -0.8214999999995798, -1752688.0, , -2.2245755805338305, , , , , , , , , , , 
14999, , , , , , , , , , , , , , , , , , , , -0.9636842105260389, -1757258.0, , -0.03263251641596254, , , , , , , , , , , 
15199, , , , , , , , , , , , , , , , , , , , -0.8889999999995453, -1761688.0, , -0.7665395119743079, , , , , , , , , , , 
15399, , , , , , , , , , , , , , , , , , , , -0.8915000000008109, -1766184.0, , -0.6391535327802486, , , , , , , , , , , 
15599, , , , , , , , , , , , , , , , , , , , -0.887499999999546, -1770665.0, , -0.5938098847580441, , , , , , , , , , , 
15799, , , , , , , , , , , , , , , , , , , , -0.8819999999995487, -1775141.0, , -0.6183524161964906, , , , , , , , , , , 
15999, , , , , , , , , , , , , , , , , , , , -0.8825000000008026, -1779611.0, , -0.6317966337105955, , , , , , , , , , , 
16199, , , , , , , , , , , , , , , , , , , , -0.883499999999548, -1784076.0, , -0.6594031832601887, , , , , , , , , , , 
16399, , , , , , , , , , , , , , , , , , , , -0.889500000000809, -1788566.0, , -0.5526289387269698, , , , , , , , , , , 
16599, , , , , , , , , , , , , , , , , , , , -0.9004999999995393, -1793040.0, , -0.5340498795048662, , , , , , , , , , , 
16799, , , , , , , , , , , , , , , , , , , , -0.8963157894734268, -1797519.0, , -0.5335127249499765, , , , , , , , , , , 
16999, , , , , , , , , , , , , , , , , , , , -0.8915000000008109, -1801988.0, , -0.5640738040004326, , , , , , , , , , , 
17199, , , , , , , , , , , , , , , , , , , , -0.9094999999995348, -1806476.0, , -0.4859092774992423, , , , , , , , , , , 
17399, , , , , , , , , , , , , , , , , , , , -0.8845000000008044, -1810941.0, , -0.543321882821132, , , , , , , , , , , 
17599, , , , , , , , , , , , , , , , , , , , -0.8944999999995423, -1815415.0, , -0.5291053127888736, , , , , , , , , , , 
17799, , , , , , , , , , , , , , , , , , , , -0.8919999999995436, -1819880.0, , -0.6014747647877648, , , , , , , , , , , 
17999, , , , , , , , , , , , , , , , , , , , -0.8865000000008063, -1824363.0, , -0.5617996821905363, , , , , , , , true, true, , 
18199, , , , , , , , , , , , , , , , , , , , -0.8919999999995436, -1828839.0, , -0.5236359666070366, , , , , , , , , , , 
18399, , , , , , , , , , , , , , , , , , , , -0.8975000000008162, -1833313.0, , -0.5294426454466611, , , , , , , , , , , 
18599, , , 12.499999999993605, 0.004999999999997442, , , , , , , , , , , , , , , , -0.8884999999995454, -1837770.0, , -0.6415833079941058, , , , , , , , , , , 
18799, , , 0.0, 0.0, , , , , , , , , , , , , , , , -0.889499999999545, -1842261.0, , -0.543885249314395, , , , , , , , , , , 
18999, , , , , , , , , , , , , , , , , , , , -0.8940000000008131, -1846742.0, , -0.5126777157590278, , , , , , , , , , , 
19199, , , , , , , , , , , , , , , , , , , , -0.8899999999995447, -1851212.0, , -0.529103558291883, , , , , , , , , , , 
19399, , , , , , , , , , , , , , , , , , , , -0.8940000000008131, -1855683.0, , -0.554838634495769, , , , , , , , , , , 
19599, , , , , , , , , , , , , , , , , , , , -0.8934999999995429, -1860158.0, , -0.536030546596563, , , , , , , , , , , 
19799, , , , , , , , , , , , , , , , , , , , -0.887499999999546, -1864636.0, , -0.5337487890780849, , , , , , , , , , , 
19999, , , , , , , , , , , , , , , , , , , , -0.89050000000081, -1869101.0, , -0.574974541505073, , , , , , , , , , , 
20199, , , , , , , , , , , , , , , , , , , , -0.8924999999995433, -1873585.0, , -0.5197741641265093, , , , , , , , , , , 
20399, , , , , , , , , , , , , , , , , , , , -0.8930000000008121, -1878057.0, , -0.5287538010140069, , , , , , , , , , , 
20599, , , , , , , , , , , , , , , , , , , , -0.8909999999995443, -1882529.0, , -0.5367476664209117, , , , , , , , , , , 
20799, , , , , , , , , , , , , , , , , , , , -0.8984999999995403, -1887005.0, , -0.5161027034088256, , , , , , , , , , , 
20999, , , , , , , , , , , , , , , , , , , , -0.8875000000008072, -1891473.0, , -0.5738788473553413, , , , , , , , , , , 
21199, , , , , , , , , , , , , , , , , , , , -0.8989999999995401, -1895960.0, , -0.4825962585093585, , , , , , , , , , , 
21399, , , , , , , , , , , , , , , , , , , , -0.8935000000008125, -1900425.0, , -0.5314977721096712, , , , , , , , , , , 
21599, , , , , , , , , , , , , , , , , , , , -0.885499999999547, -1904873.0, , -0.5694006645533572, , , , , , , , , , , 
21799, , , , , , , , , , , , , , , , , , , , -0.8929999999995433, -1909349.0, , -0.5377886006240733, , , , , , , , , , , 
21999, , , , , , , , , , , , , , , , , , , , -0.8823809523815161, -1913832.0, , -0.6238227728416932, , , , , , , , , , , 
22199, , , , , , , , , , , , , , , , , , , , -0.8852380952374627, -1918317.0, , -0.5662926905439745, , , , , , , , , , , 
22399, , , , , , , , , , , , , , , , , , , , -0.8919047619053316, -1922791.0, , -0.5460831373393321, , , , , , , , , , , 
22599, , , , , , , , , , , , , , , , , , , , -0.8852380952374627, -1927261.0, , -0.5544095653105069, , , , , , , , , , , 
22799, , , , , , , , , , , , , , , , , , , , -0.8823809523803219, -1931732.0, , -0.5708119630463534, , , , , , , , , , , 
22999, , , , , , , , , , , , , , , , , , , , -0.7969999999995923, -1936130.0, , -0.937544907225194, , , , , , , , , , , 
23099, , , , , , , , , , , , , true, , , , , , , , , , , , , true, true, , , , , , , 
23199, , , , , , , , , , , , , false, , , , , , , -0.8766666666660402, -1940070.0, , -1.2158944842122728, , , false, false, , , , , , , 
23399, , , , , , , , , , , , , , , , , , , , -0.8771428571434174, -1944660.0, , -0.4678329422023944, , , , , , , , , , , 
23599, , , , , , , , , , , , , , , , , , , , -0.8942857142850752, -1949110.0, , -0.4856921966220543, , , , , , , , , , , 
23799, , , , , , , , , , , , , , , , , , , , -0.8823809523803219, -1953581.0, , -0.5864775273221366, , , , , , , , , , , 
23999, , , , , , , , , , , , , , , , , , , , -0.8900000000005686, -1958059.0, , -0.5408061358049254, , , , , , , , , , , 
24199, , , , , , , , , , , , , , , , , , , , -0.8844999999995474, -1962509.0, , -0.5623963618117014, , , , , , , , , , , 
24399, , , , , , , , , , , , , , , , , , , , -0.8800000000005621, -1967003.0, , -0.5737749468379534, , , , , , , , , , , 
24599, , , , , , , , , , , , , , , , , , , , -0.8933333333326949, -1971480.0, , -0.5364768687873147, , , , , , , , , , , 
24799, , , , , , , , , , , , , , , , , , , , -0.8866666666660331, -1975954.0, , -0.562631304122504, , , , , , , , , , , 
24999, , , , , , , , , , , , , , , , , , , , -0.8871428571434239, -1980429.0, , -0.5646951503122691, , , , , , , , , , , 
25199, , , , , , , , , , , , , true, , , , , , , -0.8852380952374627, -1984901.0, , -0.5644689529053977, , , true, true, , , , , , , 
25399, , , , , , , , , , , , , , , , , , , , -0.8242857142862409, -1988830.0, , -1.790205674082481, , , false, false, , , , , , , 
25499, , , , , , , , , , , , , false, , , , , , , , , , , , , , , , , , , , , 
25599, , , , , , , , , , , , , , , , , , , , -0.8957142857136456, -1993405.0, , -0.2237909581130971, , , , , , , , , , , 
25799, , , , , , , , , , , , , , , , , , , , -0.8895238095231739, -1997821.0, , -0.5804187797217474, , , , , , , , , , , 
25999, , , , , , , , , , , , , , , , , , , , -0.8833333333338976, -2002310.0, , -0.5777523364998306, , , , , , , , , , , 
26199, , , , , , , , , , , , , , , , , , , , -0.889999999999364, -2006782.0, , -0.5346419164278851, , , , , , , , , , , 
26399, , , , , , , , , , , , , , , , , , , , -0.8852380952386607, -2011257.0, , -0.5544164076577727, , , , , , , , , , , 
26599, , , , , , , , , , , , , , , , , , , , -0.8680952380946179, -2015726.0, , -0.6059638056046206, , , , , , , , , , , 
26799, , , , , , , , , , , , , , , , , , , , -0.8852380952374627, -2020202.0, , -0.5534306175395032, , , , , , , , , , , 
26999, , , , , , , , , , , , , , , , , , , , -0.8852380952386607, , , , , , , , , , , , , , 
27099, , , , , , , , , , , , , , , , , , , , , -2024676.0, , -0.5504514192508323, , , , , , , , , , , 
27199, , , , , , , , , , , , , , , , , , , , -0.8919047619041246, -2029149.0, , -0.540901923079533, , , , , , , , , , , 
27399, , , , , , , , , , , , , true, , , , , , , -0.88476190476247, -2033621.0, , -0.5506558008651827, , , true, true, , , , , , , 
