time, dt.le, dt.lps, dt.re, dt.rps, dt.rsp, i.jx, i.jy, i.ld, i.ljs, i.lu, i.rjs, i.sd, i.sf, i.ssd, i.ssu, i.su, l.sl, lms.s, r.s, s.aes, s.aest, s.hf, s.m, s.sf, s.sp, so.fbe, so.fe, so.lbu, so.lu, so.sbrun, so.sbu, so.su, spid.nto, spid.vsp
-12, 0.0, , 0.0, 0.0, 0.0, 0.0, 0.0, false, 0.0, , , false, false, false, false, false, , false, Disabled, , -251628.0, false, , false, , , false, , false, , false, false, , 0.0
88, , 0.0, , , , , , , , false, 0.0, , , , , , true, , , -0.8833333333332998, , , -0.5952987416996876, , -0.92, false, , false, , true, , , , 
388, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , false, 
488, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , false, 
12388, , , , , , , , , , , , , , , , , , , , -0.0930000000000185, -358696.0, , -8.377713860806281, , , , , , , , , , , 
12588, , , , , , , , , , , , , , , , , , , , -0.4845000000000964, -360290.0, , -6.63587263201684, , , , , , , , , , , 
12788, , , , , , , , , , , , , , , , , , , , -0.7649999999996087, -363525.0, , -2.930173467096238, , , , , , , , , , , 
12988, , , , , , , , , , , , , , , , , , , , -0.9409999999995187, -367920.0, , -0.2887759882674145, , , , , , , , , , , 
13188, , , , , , , , , , , , , , , , , , , , -0.8835000000001758, -372402.0, , -0.6972276681038966, , , , , , , , , , , 
13388, , , , , , , , , , , , , , , , , , , , -0.8965000000001784, -376894.0, , -0.4919287701163648, , , , , , , , , , , 
13588, , , , , , , , , , , , , , , , , , , , , -381361.0, , -0.5505104039334346, , , , , , , , , , , 
13788, , , , , , , , , , , , , , , , , , , , -0.8999999999995396, -385839.0, , -0.5376671081130626, , , , , , , , , , , 
13988, , , , , , , , , , , , , , , , , , , , -0.8919999999995436, -390310.0, , -0.5545924192660532, , , , , , , , true, true, , 
14188, , , , , , , , , , , , , , , , , , , , -0.8950000000001781, -394788.0, , -0.5358447862398643, , , , , , , , , , , 
14388, , , , , , , , , , , , , , , , , , , , -0.8880000000001766, -399263.0, , -0.5398438198649747, , , , , , , , , , , 
14588, , , , , , , , , , , , , , , , , , , , -0.8905000000001771, -403737.0, , -0.5328937835605484, , , , , , , , , , , 
14788, , , , , , , , , , , , , , , , , , , , -0.8934999999995429, -408204.0, , -0.5637433708885364, , , , , , , , , , , 
14988, , , , , , , , , , , , , , , , , , , , -0.8979999999995406, -412680.0, , -0.560290817941257, , , , , , , , , , , 
15188, , , , , , , , , , , , , , , , , , , , -0.8940000000001779, -417156.0, , -0.5324538318183222, , , , , , , , , , , 
15388, , , , , , , , , , , , , , , , , , , , -0.8945000000001779, -421625.0, , -0.5522991302011524, , , , , , , , , , , 
15588, , , , , , , , , , , , , , , , , , , , -0.8965000000001784, -426099.0, , -0.5449893300344029, , , , , , , , , , , 
15788, , , , , , , , , , , , , , , , , , , , -0.8829999999995483, -430567.0, , -0.5838516767355922, , , , , , , , , , , 
15988, , , , , , , , , , , , , , , , , , , , -0.8924999999995433, -435042.0, , -0.5616742800638512, , , , , , , , , , , 
16188, , , , , , , , , , , , , , , , , , , , -0.8985000000001787, -439515.0, , -0.5372900390162267, , , , , , , , , , , 
16388, , , , , , , , , , , , , , , , , , , , -0.8940000000001779, -443987.0, , -0.5482902135862605, , , , , , , , , , , 
16588, , , , , , , , , , , , , , , , , , , , -0.8895000000001769, -448460.0, , -0.5400309076089652, , , , , , , , , , , 
16788, , , , , , , , , , , , , , , , , , , , -0.8994999999995399, -452923.0, , -0.5643159626505494, , , , , , , , , , , 
