time, dt.le, dt.lps, dt.re, dt.rps, dt.rsp, i.jx, i.jy, i.ld, i.ljs, i.lu, i.rjs, i.sd, i.sf, i.ssd, i.ssu, i.su, l.sl, lms.s, r.s, s.aes, s.hf, s.m, s.sf, s.sp, so.fbe, so.fe, so.lbu, so.lu, so.sbrun, so.sbu, so.su, spid.vsp
62898, , , , , , , , , , , , , , , , , , , , -19525.000000017757, , -0.4684173140985695, , , , , , , , , , 
63098, , , , , , , , , , , , , , , , , , , , -20300.000000018463, , -0.3770613245426466, , -0.82, , , , , , , , 
63298, , , , , , , , , , , , , , , , , , , , -20137.500000018314, , -0.5059239922346005, , , , , , , , , , 
63498, , , , , , , , , , , , , , , , , , , , -21362.499999958713, , -0.43611486276915457, , -0.85, , , , , , , , 
63698, , , , , , , , , , , , , , , , , , , , -20487.499999960404, , -0.5528203757858864, , , , , , , , , , 
63898, , , , , , , , , , , , , , , , , , , , -20850.000000018965, , -0.48989208990453703, , , , , , , , , , 
64098, , , , , , , , , , , , , , , , , , , , -20737.50000001886, , -0.5054259691986481, , , , , , , , , , 
64298, , , , , , , , , , , , , , , , , , , , -20725.00000001885, , -0.5310537621726489, , , , , , , , , , 
64498, , , , , , , , , , , , , , , , , , , , -20524.99999996033, , -0.5279906795613333, , , , , , , , , , 
64698, -12.499999999975842, -0.006249999999987921, , , , , , , , , , , , , , , , , , -20849.999999959702, , -0.4178234241513946, , , , , , , , , , 
64898, 0.0, 0.0, -12.500000000011369, -0.005000000000004548, , , , , , , , , , , , , , , , -20637.50000001877, , -0.5292246828223961, , , , , , , , , , 
65098, , , 0.0, 0.0, , , , , , , , , , , , , , , , -20775.000000018896, , -0.49647337304014405, , , , , , , , , , 
65298, , , , , , , , , , , , , , , , , , , , , , -0.4640130910772968, , , , , , , , , , 
65498, , , , , , , , , , , , , , , , , , , , -20674.99999996004, , -0.5032504676275766, , , , , , , , , , 
65698, , , , , , , , , , , , , , , , , , , , -20612.499999960164, , -0.5120050888220284, , , , , , , , , , 
65898, , , , , , , , , , , , , , , , , , , , -20849.999999959702, , -0.5114955138596906, , , , , , , , , , 
66098, , , , , , , , , , , , , , , , , , , , -20537.499999960306, , -0.5407422381964389, , , , , , , , , , 
66298, , , , , , , , , , , , , , , , , , , , -20525.000000018666, , -0.560664270860294, , , , , , , , , , 
66498, , , -12.500000000011369, -0.005000000000004548, , , , , , , , , , , , , , , , -20762.500000018885, , -0.45801166454796294, , , , , , , , , , 
66698, , , 0.0, 0.0, , , , , , , , , , , , , , , , -20737.50000001886, , -0.5378158025912453, , , , , , , , , , 
66898, -12.500000000011369, -0.006250000000005684, 12.499999999975842, 0.004999999999990337, , , , , , , , , , , , , , , , -20649.99999996009, , -0.5179081026287804, , , , , , , , , , 
67098, 0.0, 0.0, 0.0, 0.0, , , , , , , , , , , , , , , , -20799.9999999598, , -0.5232578515487839, , , , , , , , , , 
67298, , , , , , , , , , , , , , , , , , , , -20400.000000018554, , -0.5265350088481937, , , , , , , , , , 
67498, , , , , , , , , , , , , , , , , , , , -20040.000000018226, , -0.6243590111232116, , , , , , , , , , 
67698, -12.500000000011369, -0.006250000000005684, 12.500000000011369, 0.005000000000004548, , , , , , , , , , , , , , , , -20500.000000018645, , -0.5363535592944718, , , , , , , , , , 
67898, 12.500000000011369, 0.006250000000005684, -12.499999999975842, -0.004999999999990337, , , , , , , , , , , , , , , , -21381.57894736228, , -0.4403974891817234, , , , , , , , , , 
68098, 0.0, 0.0, 0.0, 0.0, , , , , , , , , , , , , , , , -20762.499999959873, , -0.5188665400979953, , , , , , , , , , 
68298, , , , , , , , , , , , , , , , , , , , -20800.000000018917, , -0.46386116984936965, , , , , , , , , , 
68498, , , , , , , , , , , , , , , , , , , , -20250.00000001842, , -0.565312073599056, , , , , , , , , , 
68698, , , , , , , , , , , , , , , , , , , , -20775.000000018896, , -0.4681619937251562, , , , , , , , , , 
68898, , , , , , , , , , , , , , , , , , , , -19964.28571427145, , -0.6388630551694787, , , , , , , , , , 
69098, , , , , , , , , , , , , , , , , , , , -20599.999999960186, , -0.5447181061647971, , , , , , , , , , 
69298, , , , , , , , , , , , , , , , , , , , -21460.52631578331, , -0.46887868452616566, , , , , , , , , , 
69498, , , , , , , , , , , , , , , , , , , , -19562.500000017793, , -0.5959843234162636, , -0.82, , , , , , , , 
69698, , , , , , , , , , , , , , true, , , , , , -19412.500000017655, , -0.4447439994708766, , -0.8, , , , , , , , 
69898, , , , , , , , , , , , , , false, , , , , , -18736.842105257776, , -0.33037828405703473, , -0.75, , , , , , , , 
70098, , , , , , , , , , , , , , true, , , , , , -12824.999999975213, , 1.2068631878370735, , -0.5, , , , , , , , 
70298, , , , , , , , , , , , , , , , , , , , -9059.523809541859, , 1.9306313729784053, , -0.25, , , , , , , , 
70498, , , , , , , , , , , , , , , , , , , , -6071.428571424232, , 3.21733276496091, , 0.0, , , , , , , , 
70698, , , , , , , , , , , , , , , , , , , , -6012.500000005469, , 3.0469798436684417, , , , , , , , , , 
70898, , , , , , , , , , , , , , false, , , , , , -5476.190476186563, , 2.8420089975409546, , , , , , , , , , 
71098, , , , , , , , , , , , , , , , , , , , -5119.047619043961, , 2.6671471004071243, , , , , , , , , , 
71298, , , , , , , , , , , , , , true, , , , , , -5000.0000000045475, , 2.519184140201413, , , , , , , , , , 
71498, , , , , , , , , , , , , , false, , , , , , -4428.571428568264, , 2.3417207742997896, , , , , , , , , , 
71698, , , , , , , , , , , , , , , , , , , , -4287.499999991714, , 2.1829265738673436, , , , , , , , , , 
71898, , , , , , , , , , , , , , , , , , , , -4000.000000003638, , 2.018000614596022, , , , , , , , , , 
72098, , , , , , , , , , , , , , , , , , , , -3600.000000003274, , 1.841966043369196, , , , , , , , , , 
72298, , , , , , , , , , , , , , , , , , , , -3142.857142863404, , 1.6668553192483577, , , , , , , , , , 
72498, , , , , , , , , , , , , , , , , , , , -2962.4999999942743, , 1.5109487500227032, , , , , , , , , , 
72698, , , , , , , , , , , , , , , , , , , , -2637.4999999949027, , 1.3460091652102846, , , , , , , , , , 
72898, , , , , , , , , , , , , , , , , , , , -2300.000000002092, , 1.1788549225886664, , , , , , , , , , 
73098, , , -12.499999999975842, -0.004999999999990337, , , , , , , , , , , , , , , , -1962.5000000017849, , 1.0062081278661876, , , , , , , , , , 
73298, , , 0.0, 0.0, , , , , , , , , , , , , , , , -1587.5000000014438, , 0.831960195722945, , , , , , , , , , 
73498, -13.157894736838326, -0.006578947368419163, 12.500000000011369, 0.005000000000004548, , , , , , , , , , , , , , , , 421.05263157882644, , -0.4130725155905483, , , , , , , , , , 
73698, 0.0, 0.0, 0.0, 0.0, , , , , , , , , , , , , , , , 524.9999999989853, , -0.0474002498945495, , , , , , , , , , 
73898, , , , , , , , , , , , , , , , , , , , -87.50000000007958, , 0.051249442291459606, , , , , , , , , , 
74098, , , , , , , , , , , , , , , , , , , , 0.0, , 0.0015989959234892549, , , , , , , , , , 
74298, , , , , , , , , , , , , , , , , , , , , , 4.5167677163761205E-5, , , , , , , , , , 
74498, , , , , , , , , , , , , , , , , , , , , , 1.2758750853585055E-6, , , , , , , , , , 
74698, , , , , , , , , , , , , , , , , , , , , , 3.6040313242953985E-8, , , , , , , , , , 
74898, , , , , , , , , , , , , , , , , , , , , , 1.018049645734142E-9, , , , , , , , , , 
75098, , , , , , , , , , , , , , , , , , , , , , 2.875738271731134E-11, , , , , , , , , , 
75298, , , , , , , , , , , , , , , , , , , , , , 8.123248843660813E-13, , , , , , , , , , 
75498, , , , , , , , , , , , , , , , , , , , , , 2.294616739802048E-14, , , , , , , , , , 
75698, , , , , , , , , , , , , , , , , , , , , , 6.481724349351514E-16, , , , , , , , , , 
75898, , , , , , , , , , , , , , , , , , , , , , 1.8309266995324305E-17, , , , , , , , , , 
76098, , , 12.499999999975842, 0.004999999999990337, , , , , , , , , , , , , , , , , , 5.171914753511712E-19, , , , , , , , , , 
76298, , , 0.0, 0.0, , , , , , , , , , , , , , , , , , 1.4609379078049937E-20, , , , , , , , , , 
76498, , , , , , , , , , , , , , , , , , , , , , 4.1267879928075444E-22, , , , , , , , , , 
76698, -11.904761904753398, -0.005952380952376699, 12.500000000011369, 0.005000000000004548, , , , , , , , , , , , , , , , , , 1.1657154658385204E-23, , , , , , , , , , 
76898, 12.499999999975842, 0.006249999999987921, -12.499999999975842, -0.004999999999990337, , , , , , , , , , , , , , , , , , 3.2928576647588685E-25, , , , , , , , , , 
77098, -12.500000000011369, -0.006250000000005684, 12.499999999975842, 0.004999999999990337, , , , , , , , , , , , , , , , , , 9.301507887743194E-27, , , , , , , , , , 
77298, 0.0, 0.0, 0.0, 0.0, , , , , , , , , , , , , , , , , , 2.627445756665721E-28, , , , , , , , , , 
77498, , , , , , , , , , , , , , , , , , , , , , 7.421883943481426E-30, , , , , , , , , , 
77698, , , , , , , , , , , , , , , , , , , , , , 2.0964985149840165E-31, , , , , , , , , , 
77898, , , , , , , , , , , , , , , , , , , , , , 5.9220894004823994E-33, , , , , , , , , , 
78098, , , , , , , , , , , , , , , , , , , , , , 1.672843678001526E-34, , , , , , , , , , 
78298, , , , , , , , , , , , , , , , , , , , , , 4.725369344815565E-36, , , , , , , , , , 
78498, , , , , , , , , , , , , , , , , , , , , , 1.3347998822937424E-37, , , , , , , , , , 
78698, 12.499999999975842, 0.006249999999987921, , , , , , , , , , , , , , , , , , , , 3.770479291160954E-39, , , , , , , , , , 
78898, -24.999999999951683, -0.012499999999975841, 12.499999999975842, 0.004999999999990337, , , , , , , , , , , , , , , , , , 1.0650670766200333E-40, , , , , , , , , , 
79098, 0.0, 0.0, 0.0, 0.0, , , , , , , , , , , , , , , , , , 3.008550876699458E-42, , , , , , , , , , 
79298, , , , , , , , , , , , , , , , , , , , , , 8.498411580248472E-44, , , , , , , , , , 
79498, , , , , , , , , , , , , , , , , , , , , , 2.400590927235169E-45, , , , , , , , , , 
79698, , , , , , , , , , , , , , , , , , , , , , 6.78107519917895E-47, , , , , , , , , , 
79898, , , , , , , , , , , , , , , , , , , , , , 1.9154859053757977E-48, , , , , , , , , , 
80098, , , , , , , , , , , , , , , , , , , , , , 5.410773580770187E-50, , , , , , , , , , 
80298, , , , , , , , , , , , , , , , , , , , , , 1.5284096145106797E-51, , , , , , , , , , 
80498, , , , , , , , , , , , , , , , , , , , , , 4.317378864328979E-53, , , , , , , , , , 
80698, , , , , , , , , , , , , , , , , , , , , , 1.2195526697286646E-54, , , , , , , , , , 
80898, , , , , , , , , , , , , , , , , , , , , , 3.444934440502191E-56, , , , , , , , , , 
81098, , , , , , , , , , , , , , , , , , , , , , 9.731087138695313E-58, , , , , , , , , , 
81298, , , , , , , , , , , , , , , , , , , , , , 2.7487912625436535E-59, , , , , , , , , , 
81498, , , , , , , , , , , , , , , , , , , , , , 7.764654963360424E-61, , , , , , , , , , 
81698, , , , , , , , , , , , , , , , , , , , , , 2.1933228441743206E-62, , , , , , , , , , 
81898, , , , , , , , , , , , , , , , , , , , , , 6.19559416545529E-64, , , , , , , , , , 
82098, , , , , , , , , , , , , , , , , , , , , , 1.7501020045899287E-65, , , , , , , , , , 
82298, , , , , , , , , , , , , , , , , , , , , , 4.94360499521939E-67, , , , , , , , , , 
82498, , , , , , , , , , , , , , , , , , , , , , 1.3964460519822399E-68, , , , , , , , , , 
82698, , , , , , , , , , , , , , , , , , , , , , 3.9446144624874987E-70, , , , , , , , , , 
82898, , , , , , , , , , , , , , , , , , , , , , 1.1142559525001564E-71, , , , , , , , , , 
83098, , , , , , , , , , , , , , , , , , , , , , 3.147497276322137E-73, , , , , , , , , , 
83298, , , , , , , , , , , , , , , , , , , , , , 8.890900768559171E-75, , , , , , , , , , 
83498, , , , , , , , , , , , , , , true, , , , , , , -3.1875, , -0.25, , , , , , , , 
83698, , , , , , , , , , , , , , , , , , , , -8875.000000008073, , -2.8411706076155716, , -0.5, , , , , , , , 
83898, , , , , , , , , , , , , , , false, , , , , -14099.99999997275, , 0.3931466443710451, , , , , , , , , , 
84098, , , , , , , , , , , , , , , true, , , , , -12899.999999975069, , -3.5470355168617753, , -0.75, , , , , , , , 
84298, , , , , , , , , , , , , , , , , , , , -19787.500000017997, , -0.9979640299662424, , -0.8, , , , , , , , 
84498, , , , , , , , , , , , , , , false, , , , , -18815.789473678808, , -0.42049004452360716, , , , , , , , , , 
84698, , , 12.500000000011369, 0.005000000000004548, , , , , , , , , , , , , , , , -20450.0000000186, , -0.2723967460569638, , -0.82, , , , , , , , 
84898, , , 0.0, 0.0, , , , , , , , , , , , , , , , -19424.999999962456, , -0.6088531400031315, , , , , , , , , , 
85098, , , , , , , , , , , , , , , , , , , , -19524.999999962263, , -0.4517696361053859, , , , , , , , , , 
85298, , , , , , , , , , , , , , , , , , , , -19887.500000018088, , -0.4480193925186231, , , , , , , , , , 
85498, , , , , , , , , , , , , , , , , , , , -21605.26315788853, , -0.21359409825886178, , -0.85, , , , , , , , 
85698, , , , , , , , , , , , , , , , , , , , -20450.0000000186, , -0.6179318242949248, , , , , , , , , , 
85898, , , , , , , , , , , , , , , , , , , , -21249.999999993895, , -0.4217926668754135, , , , , , , , , , 
86098, , , , , , , , , , , , , , , , , , , , -21197.368421046544, , -0.4635487248133049, , , , , , , , , , 
86298, , , 12.500000000011369, 0.005000000000004548, , , , , , , , , , , , , , , , -20525.000000018666, , -0.6095797654163234, , , , , , , , , , 
