time, dt.le, dt.lps, dt.re, dt.rps, dt.rsp, i.jx, i.jy, i.ld, i.ljs, i.lu, i.rjs, i.sd, i.sf, i.ssd, i.ssu, i.su, l.sl, lms.s, r.s, s.aes, s.aest, s.hf, s.m, s.sf, s.sp, so.fbe, so.fe, so.lbu, so.lu, so.sbrun, so.sbu, so.su, spid.nto, spid.vsp
-65, , , , , , , , , , , , , , , , , , , Disabled, , , , , , , , , , , , , , , 0.0
141235, , , , , , , , , , , , , , , , , , , Disabled, , , , , , , , , , , , , , , 0.0
148835, 0.0, 0.0, 0.0, 0.0, 0.0, , , , , , , , , , , , true, false, , 0.033038192150125545, , , , , 0.0, , , , , , , , , 
148935, , , , , , 0.0, 0.0, false, 0.0, false, 0.0, false, false, false, false, false, , , Teleop, , 0.0, false, -4.955728822518831E-6, false, , false, false, false, false, false, false, false, , 
149035, , , , , , , , , , , , , , , , , , , , 0.0, , , -1.3998707331174827E-7, , , , , , , , , , , 
149235, , , , , , , , , , , , , , , , , , , , , , , -3.954288339051732E-9, , , , , , , , , , , 
149435, , , , , , , , , , , , , , , , , , , , , , , -1.1169885831914339E-10, , , , , , , , , , , 
149635, , , , , , , , , , , , , , , , , , , , , , , -3.1552162816715726E-12, , , , , , , , , , , 
149835, , , , , , , , , , , , , , , , , , , , , , , -8.912705048140312E-14, , , , , , , , , , , 
150035, , , , , , , , , , , , , , , , , , , , , , , -2.51761857773699E-15, , , , , , , , , , , 
150235, , , , , , , , , , , , , , , , , , , , , , , -7.111649346332817E-17, , , , , , , , , , , 
150435, , , , , , , , , , , , , , , , , , , , , , , -2.0088649199060478E-18, , , , , , , , , , , 
150635, , , , , , , , , , , , , , , , , , , , , , , -5.674546184578256E-20, , , , , , , , , , , 
150835, , , , , , , , , , , , , , , , , , , , , , , -1.6029188464507417E-21, , , , , , , , , , , 
151035, , , , , , , , , , , , , , , , , , , , , , , -4.5278490027796577E-23, , , , , , , , , , , 
151235, , , , , , , , , , , , , , , , , , , , , , , -1.2790052744945847E-24, , , , , , , , , , , 
151435, , , , , , , , , , , , , , , , , , , , , , , -3.6128733338517093E-26, , , , , , , , , , , 
151635, , , , , , , , , , , , , , , , , , , , , , , -1.0205472945852212E-27, , , , , , , , , , , 
151835, , , , , , , , , , , , , , , , , , , , , , , -2.8827935115423653E-29, , , , , , , , , , , 
152035, , , , , , , , , , , , , , , , , , , , , , , -8.143178149885132E-31, , , , , , , , , , , 
